"token ID";"tokens";"POStags";"lemmas";"namedEntities"
"t28694";"Obadiah";"NE";"<unknown>";"B-PER"
"t28695";"zu";"PTKZU";"zu";""
"t28696";"erscheinen";"VVINF";"erscheinen";""
"t28697";".";"$.";".";""
"t28698";"«";"$(";"«";""
"t28699";"Darauf";"PROAV";"darauf";""
"t28700";"zog";"VVFIN";"ziehen";""
"t28701";"er";"PPER";"er";""
"t28702";"sich";"PRF";"er|es|sie";""
"t28703";"zurück";"PTKVZ";"zurück";""
"t28704";"und";"KON";"und";""
"t28705";"verschloss";"VVFIN";"verschließen";""
"t28706";"die";"ART";"d";""
"t28707";"Türe";"NN";"Türe";""
"t28708";".";"$.";".";""
"t28709";"»";"$(";"»";""
"t28710";"Nun";"ADV";"nun";""
"t28711";"!";"$.";"!";""
"t28712";"Da";"ADV";"da";""
"t28713";"sind";"VAFIN";"sein";""
"t28714";"wir";"PPER";"wir";""
"t28715";"im";"APPRART";"im";""
"t28716";"Kerker";"NN";"Kerker";""
"t28717";"!";"$.";"!";""
"t28718";"«";"$(";"«";""
"t28719";"rief";"VVFIN";"rufen";""
"t28720";"Passepartout";"NN";"Passepartout";""
"t28721";",";"$,";",";""
"t28722";"indem";"KOUS";"indem";""
"t28723";"er";"PPER";"er";""
"t28724";"auf";"APPR";"auf";""
"t28725";"einen";"ART";"ein";""
"t28726";"Stuhl";"NN";"Stuhl";""
"t28727";"sank";"VVFIN";"sinken";""
"t28728";".";"$.";".";""
"t28729";"Mrs.";"NE";"Mrs.";"B-PER"
"t28730";"Aouda";"NE";"<unknown>";"I-PER"
"t28731";"wandte";"VVFIN";"wenden";""
"t28732";"sich";"PRF";"er|es|sie";""
"t28733";"sogleich";"ADV";"sogleich";""
"t28734";"an";"APPR";"an";""
"t28735";"Herrn";"NN";"Herr";""
"t28736";"Fogg";"NE";"<unknown>";"B-PER"
"t28737";",";"$,";",";""
"t28738";"und";"KON";"und";""
"t28739";"sprach";"VVFIN";"sprechen";""
"t28740";"mit";"APPR";"mit";""
"t28741";"Rührung";"NN";"Rührung";""
"t28742";",";"$,";",";""
"t28743";"die";"PRELS";"d";""
"t28744";"sie";"PPER";"sie";""
"t28745";"nicht";"PTKNEG";"nicht";""
"t28746";"verbergen";"VVINF";"verbergen";""
"t28747";"konnte";"VMFIN";"können";""
"t28748";":";"$.";":";""
"t28749";"»";"$(";"»";""
"t28750";"Mein";"PPOSAT";"mein";""
"t28751";"Herr";"NN";"Herr";""
"t28752";",";"$,";",";""
"t28753";"Sie";"PPER";"Sie|sie|sie";""
"t28754";"müssen";"VMFIN";"müssen";""
"t28755";"mich";"PPER";"ich";""
"t28756";"preisgeben";"VVINF";"preisgeben";""
"t28757";"!";"$.";"!";""
"t28758";"Um";"APPR";"um";""
"t28759";"meinetwillen";"ADV";"meinetwillen";""
"t28760";"verfolgt";"VVFIN";"verfolgen";""
"t28761";"man";"PIS";"man";""
"t28762";"Sie";"PPER";"Sie|sie|sie";""
"t28763";"!";"$.";"!";""
"t28764";"Weil";"KOUS";"weil";""
"t28765";"Sie";"PPER";"Sie|sie|sie";""
"t28766";"mich";"PRF";"ich";""
"t28767";"gerettet";"VVPP";"retten";""
"t28768";"haben";"VAFIN";"haben";""
"t28769";"!";"$.";"!";""
"t28770";"«";"$(";"«";""
"t28771";"Phileas";"NE";"Philea";"B-PER"
"t28772";"Fogg";"NE";"<unknown>";"I-PER"
"t28773";"erwiderte";"VVFIN";"erwidern";""
"t28774";"nur";"ADV";"nur";""
"t28775";",";"$,";",";""
"t28776";"das";"PDS";"d";""
"t28777";"sei";"VAFIN";"sein";""
"t28778";"nicht";"PTKNEG";"nicht";""
"t28779";"möglich";"ADJD";"möglich";""
"t28780";".";"$.";".";""
"t28781";"Wegen";"APPR";"wegen";""
"t28782";"dieser";"PDAT";"dies";""
"t28783";"Entführung";"NN";"Entführung";""
"t28784";"der";"ART";"d";""
"t28785";"Witwe";"NN";"Witwe";""
"t28786";"verfolgt";"VVFIN";"verfolgen";""
"t28787";"–";"ADJD";"<unknown>";""
"t28788";"das";"PDS";"d";""
"t28789";"war";"VAFIN";"sein";""
"t28790";"nicht";"PTKNEG";"nicht";""
"t28791";"anzunehmen";"VVIZU";"annehmen";""
"t28792";".";"$.";".";""
"t28793";"Die";"ART";"d";""
"t28794";"Kläger";"NN";"Kläger";""
"t28795";"würden";"VAFIN";"werden";""
"t28796";"nicht";"PTKNEG";"nicht";""
"t28797";"aufzutreten";"VVIZU";"auftreten";""
"t28798";"wagen";"VVINF";"wagen";""
"t28799";".";"$.";".";""
"t28800";"Es";"PPER";"es";""
"t28801";"musste";"VMFIN";"müssen";""
"t28802";"da";"ADV";"da";""
"t28803";"ein";"ART";"ein";""
"t28804";"Missverständnis";"NN";"Mißverständnis";""
"t28805";"obwalten";"VVINF";"obwalten";""
"t28806";".";"$.";".";""
"t28807";"Herr";"NN";"Herr";""
"t28808";"Fogg";"NE";"<unknown>";"B-PER"
"t28809";"setzte";"VVFIN";"setzen";""
"t28810";"hinzu";"PTKVZ";"hinzu";""
"t28811";",";"$,";",";""
"t28812";"jedenfalls";"ADV";"jedenfalls";""
"t28813";"werde";"VAFIN";"werden";""
"t28814";"er";"PPER";"er";""
"t28815";"die";"ART";"d";""
"t28816";"junge";"ADJA";"jung";""
"t28817";"Frau";"NN";"Frau";""
"t28818";"nicht";"PTKNEG";"nicht";""
"t28819";"im";"APPRART";"im";""
"t28820";"Stiche";"NN";"Stich";""
"t28821";"lassen";"VVINF";"lassen";""
"t28822";",";"$,";",";""
"t28823";"und";"KON";"und";""
"t28824";"werde";"VAFIN";"werden";""
"t28825";"sie";"PPER";"sie";""
"t28826";"nach";"APPR";"nach";""
"t28827";"Hongkong";"NE";"Hongkong";"B-GPE"
"t28828";"führen";"VVINF";"führen";""
"t28829";".";"$.";".";""
"t28830";"»";"$(";"»";""
"t28831";"Aber";"KON";"aber";""
"t28832";"das";"ART";"d";""
"t28833";"Boot";"NN";"Boot";""
"t28834";"fährt";"VVFIN";"fahren";""
"t28835";"schon";"ADV";"schon";""
"t28836";"um";"APPR";"um";""
"t28837";"zwölf";"CARD";"zwölf";""
"t28838";"Uhr";"NN";"Uhr";""
"t28839";"ab";"PTKVZ";"ab";""
"t28840";"!";"$.";"!";""
"t28841";"«";"$(";"«";""
"t28842";"bemerkte";"ADJA";"bemerkt";""
"t28843";"Passepartout";"NN";"Passepartout";""
"t28844";".";"$.";".";""
"t28845";"»";"$(";"»";""
"t28846";"Ehe";"KOUS";"ehe";""
"t28847";"es";"PPER";"es";""
"t28848";"zwölf";"CARD";"zwölf";""
"t28849";"Uhr";"NN";"Uhr";""
"t28850";"ist";"VAFIN";"sein";""
"t28851";",";"$,";",";""
"t28852";"werden";"VAFIN";"werden";""
"t28853";"wir";"PPER";"wir";""
"t28854";"an";"APPR";"an";""
"t28855";"Bord";"NN";"Bord";""
"t28856";"sein";"VAINF";"sein";""
"t28857";"«";"$(";"«";""
"t28858";",";"$,";",";""
"t28859";"erwiderte";"VVFIN";"erwidern";""
"t28860";"ruhig";"ADJD";"ruhig";""
"t28861";"der";"ART";"d";""
"t28862";"Gentleman";"NN";"Gentleman";""
"t28863";".";"$.";".";""
"t28864";"Dies";"PDS";"dies";""
"t28865";"sprach";"VVFIN";"sprechen";""
"t28866";"er";"PPER";"er";""
"t28867";"mit";"APPR";"mit";""
"t28868";"solcher";"PIAT";"solch";""
"t28869";"Bestimmtheit";"NN";"Bestimmtheit";""
"t28870";",";"$,";",";""
"t28871";"dass";"KOUS";"dass";""
"t28872";"Passepartout";"NN";"Passepartout";""
"t28873";"nicht";"PTKNEG";"nicht";""
"t28874";"umhin";"ADV";"umhin";""
"t28875";"konnte";"VMFIN";"können";""
"t28876";",";"$,";",";""
"t28877";"sich";"PRF";"er|es|sie";""
"t28878";"selbst";"ADV";"selbst";""
"t28879";"zu";"PTKZU";"zu";""
"t28880";"sagen";"VVINF";"sagen";""
"t28881";":";"$.";":";""
"t28882";"»";"$(";"»";""
"t28883";"Der";"ART";"d";""
"t28884";"Tausend";"NN";"Tausend";""
"t28885";"!";"$.";"!";""
"t28886";"Das";"PDS";"d";""
"t28887";"heißt";"VVFIN";"heißen";""
"t28888";"doch";"ADV";"doch";""
"t28889";"sicher";"ADJD";"sicher";""
"t28890";"!";"$.";"!";""
"t28891";"Vor";"APPR";"vor";""
"t28892";"zwölf";"CARD";"zwölf";""
"t28893";"Uhr";"NN";"Uhr";""
"t28894";"werden";"VAFIN";"werden";""
"t28895";"wir";"PPER";"wir";""
"t28896";"an";"APPR";"an";""
"t28897";"Bord";"NN";"Bord";""
"t28898";"sein";"VAINF";"sein";""
"t28899";"!";"$.";"!";""
"t28900";"«";"$(";"«";""
"t28901";"Aber";"KON";"aber";""
"t28902";"beruhigt";"ADJD";"beruhigt";""
"t28903";"war";"VAFIN";"sein";""
"t28904";"er";"PPER";"er";""
"t28905";"durchaus";"ADV";"durchaus";""
"t28906";"nicht";"PTKNEG";"nicht";""
"t28907";".";"$.";".";""
"t28908";"Um";"APPR";"um";""
"t28909";"halb";"ADJD";"halb";""
"t28910";"neun";"CARD";"neun";""
"t28911";"öffnete";"VVFIN";"öffnen";""
"t28912";"sich";"PRF";"er|es|sie";""
"t28913";"die";"ART";"d";""
"t28914";"Türe";"NN";"Türe";""
"t28915";",";"$,";",";""
"t28916";"der";"ART";"d";""
"t28917";"Polizeimann";"NN";"Polizeimann";""
"t28918";"trat";"VVFIN";"treten";""
"t28919";"herein";"PTKVZ";"herein";""
"t28920";"und";"KON";"und";""
"t28921";"führte";"VVFIN";"führen";""
"t28922";"die";"ART";"d";""
"t28923";"Gefangenen";"NN";"Gefangene";""
"t28924";"in";"APPR";"in";""
"t28925";"den";"ART";"d";""
"t28926";"daneben";"PROAV";"daneben";""
"t28927";"befindlichen";"ADJA";"befindlich";""
"t28928";"Saal";"NN";"Saal";""
"t28929";".";"$.";".";""
"t28930";"Es";"PPER";"es";""
"t28931";"war";"VAFIN";"sein";""
"t28932";"ein";"ART";"ein";""
"t28933";"Verhörsaal";"NN";"<unknown>";""
"t28934";",";"$,";",";""
"t28935";"worin";"PWAV";"worin";""
"t28936";"ein";"ART";"ein";""
"t28937";"zahlreiches";"ADJA";"zahlreich";""
"t28938";"Publikum";"NN";"Publikum";""
"t28939";"von";"APPR";"von";""
"t28940";"Europäern";"NN";"Europäer";""
"t28941";"und";"KON";"und";""
"t28942";"Eingeborenen";"NN";"Eingeborene";""
"t28943";"bereits";"ADV";"bereits";""
"t28944";"den";"ART";"d";""
"t28945";"Raum";"NN";"Raum";""
"t28946";"füllte";"VVFIN";"füllen";""
"t28947";".";"$.";".";""
"t28948";"Herr";"NN";"Herr";""
"t28949";"Fogg";"NE";"<unknown>";"B-PER"
"t28950";",";"$,";",";""
"t28951";"Mrs.";"NE";"Mrs.";"B-PER"
"t28952";"Aouda";"NE";"<unknown>";"I-PER"
"t28953";"und";"KON";"und";""
"t28954";"Passepartout";"NN";"Passepartout";""
"t28955";"nahmen";"VVFIN";"nehmen";""
"t28956";"Platz";"NN";"Platz";""
"t28957";"auf";"APPR";"auf";""
"t28958";"einer";"ART";"ein";""
"t28959";"Bank";"NN";"Bank";""
"t28960";"vor";"APPR";"vor";""
"t28961";"den";"ART";"d";""
"t28962";"Stühlen";"NN";"Stuhl";""
"t28963";"des";"ART";"d";""
"t28964";"Richters";"NN";"Richter";""
"t28965";"und";"KON";"und";""
"t28966";"Gerichtsschreibers";"NN";"<unknown>";""
